in_https,nu_imsi,nu_imei,nu_telefono,no_servidor,no_referer,no_user_agent,no_url,ca_vol_up,ca_vol_dw,it_evento,it_fin_evento,no_ip,nu_puerto,co_estado_http,co_razon
0,-394541450616390968,6146224988793291128,7430751777058129688,beacon-eu2.rubiconproject.com,http://www.bolsamania.com/tiempo-real/acciones/espana--ibex35.html,"Mozilla/5.0 (Linux; Android 7.0; SM-G930F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://beacon-eu2.rubiconproject.com/beacon/d/a143ea65-6b37-4161-8da5-c1945629c78a?accountId=15436&siteId=122660&zoneId=578956&e=6,7168,607,2017-01-05T18:03:19.490+01:00,2017-01-05T18:03:19.640+01:00,LWHi9MHlxaBqkOu+f+AsFVyv2gW+3GSmJOrqKlxAo/o=,80,200,0
0,-3494851692315714580,-1350375573519313964,4372937003959065730,10.200.160.21,NULL,NULL,http://10.200.160.21:81/SAGTEL/ver/64/10447264.ver,285,501,2017-01-05T18:00:41.330+01:00,2017-01-05T18:00:41.320+01:00,A0OjrsFjGzkVFgBH0/BggdcfA90Wiel+P42XNUSNrI0=,81,200,71
0,412855648953461501,2814880525023865528,-840218207266763886,connect.ekomi.de,http://www.pisamonas.es/awrma/guest_rma/view/id/2EBFAE3A5930429D0E2A0/,"Mozilla/5.0 (Linux; Android 5.1.1; C6603 Build/10.7.A.0.222) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://connect.ekomi.de/integration_1376503712/53D7325B9E4AE12.js,1788,15360,2017-01-05T18:00:38.090+01:00,2017-01-05T18:00:37.360+01:00,CEltfaOajVjcFxMRzkW3Ju+zvwBkn1M93FZXvgoXbcw=,80,200,71
0,4868974392649572470,-6686805008329720123,8820925693489604862,guru.avg.com,NULL,AVGINET16-WV7XX86 160FREE AVI=4776/14537 BUILD=8013 MSI=8013 LOC=3082 LIC=4U4AP-Z24UV-BTWWP-QW93F-4NWRE-K LICCOO=0 DIAG=D041250 OPF=0 PCA= BRD=283-0-0 BRH=283 PKG=283 PKP=0 DIAG2=F,http://guru.avg.com/softw/16free/update/avg16xpl.ctf,3935,2225,2017-01-05T18:00:41.350+01:00,2017-01-05T18:00:37.750+01:00,U6B/00DDHYJQZWTQOwO473AgwyvBDFcM0mBnfKyE2wY=,80,302,71
0,5640001054931430833,1814229575398664546,-5031414268549637178,script.crazyegg.com,http://es.savvy.search.com/search/suv%20nuevos?src=facebook&network=Content&Campname=Es-Suv-rmk-Mobile&camptype=sh&ad=123&SiteTarg,"Mozilla/5.0 (Linux; Android 5.0.2; ZTE Blade L3 Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/119.0.0.23.70;]",http://script.crazyegg.com/pages/scripts/0011/5566.js?415744,2012,40715,2017-01-05T18:01:05.600+01:00,2017-01-05T18:01:04.370+01:00,pZjRAIcKBUlf4nhB5Xi/dAOREJKebO1tT0bMFeCIGbc=,8080,200,71
0,-1812703304253952241,181547204251339783,-4535551292576113116,www.google.com,NULL,Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI VNS-L31 Build/HUAWEIVNS-L31),http://www.google.com/,389,703,2017-01-05T18:14:15.520+01:00,2017-01-05T18:14:15.590+01:00,MwXxqxXelf+8TB/XEjb1yEEhpuRo8UzqAMTOkHpW/Oo=,80,302,0
0,9031120173312076041,8671125383545144359,9080846502868384387,push.seattleclouds.com,NULL,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J320FN Build/LMY47V),http://push.seattleclouds.com/,863,415,2017-01-05T18:13:14.660+01:00,2017-01-05T18:13:13.090+01:00,NULL,80,200,71
0,5633616001163459439,-1232674072628647525,-4535551292576113116,3.bp.blogspot.com,http://cocina.facilisimo.com/blogs/recetas-segundos/recetas-con-conejo-sanas-y-ricas_1266633.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",http://3.bp.blogspot.com/-1wJhsEKqwaA/VF-Gtkh_cLI/AAAAAAAAAIQ/Hv7vhjMGRH8/s300/CONEJO3.jpg,1450,14791,2017-01-05T18:05:09.320+01:00,2017-01-05T18:05:09.590+01:00,M6xsk7u0ZihkN/3lxQSUxpqks6wTOHK58kjq9irdQR0=,80,200,32
0,-6153108664836730671,-1069546999042602634,-4535551292576113116,cdn.flipboard.com,NULL,"Mozilla/5.0 (Linux; Android 7.0; SM-G920F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",http://cdn.flipboard.com/flipboard.com/16cd3d3498026ce885ee23c5a813f0c0923d3acc/original.jpg,28275,772532,2017-01-05T18:11:15.150+01:00,2017-01-05T18:11:15.440+01:00,wMtYQKs9tdrTHvYF0TcyfW9wKw4kyKPV853/T9opgHE=,80,200,0
0,354076276883952138,5899869120651589643,-4535551292576113116,emea.tracking.justpremium.com,http://gaceta.es/noticias/ana-pastor-los-terroristas-asesinados-policia-05062017-1451,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",http://emea.tracking.justpremium.com/tracking.gif?rid=46c2af6f-0d3b-4cf2-bf94-23c29fedf229-1496678977&sid=07b420e6-78b4-4ffc-8071-,1237,473,2017-01-05T18:11:08.080+01:00,2017-01-05T18:11:08.130+01:00,zlMiRdqIxjFDkCfkgVN7zF4VK/cCAl7Xrlcmz/t1e1U=,80,200,32
0,-3540856035584494542,8212579669983563537,1974678988381005492,client.seedtag.com,http://esradio.libertaddigital.com/es-la-manana-de-federico/cronica-rosa.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/16.0.124986583 Mobile/13E238 Safari/600.1.4",http://client.seedtag.com/st_0.ff65a03831e92f5362cc.js,3950,109453,2017-01-05T18:20:16.140+01:00,2017-01-05T18:20:16.020+01:00,bM/9TUf0x67Jeec0ybPOHxlt/HapMcotTG4lxft3hNA=,80,200,71
0,-5333930841694360752,128884188906455949,-5854178418563471743,data.mistat.xiaomi.com,NULL,Dalvik/2.1.0 (Linux; U; Android 5.1.1; Redmi Note 3 MIUI/V8.0.6.0.LHOMIDG),http://data.mistat.xiaomi.com/mistats/v2,1991,501,2017-01-05T18:20:23.470+01:00,2017-01-05T18:20:21.840+01:00,NULL,8080,200,71
0,-635846214844821959,-15005689918025162,-6098020735403955149,init-p01st.push.apple.com,NULL,"iPhone9,3/10.3.1 (14E304)",http://init-p01st.push.apple.com/bag,718,7797,2017-01-05T18:21:16.000+01:00,2017-01-05T18:21:15.960+01:00,fmHeF4cMMhoF+4urZ0dAP+p1FMXzv8iB7USHnnRjVVk=,80,200,71
0,2331053190583745442,-8539265059630870973,1025407445336048079,tpc.googlesyndication.com,http://www.cabroworld.com/2017/06/04/la-increible-historia-de-una-chica-de-23-anos-que-supuestamente-violo-a-un-taxista/,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920F Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/126.0.0.23.77;]",http://tpc.googlesyndication.com/safeframe/1-0-8/html/container.html,2810,3653,2017-01-05T18:21:43.000+01:00,2017-01-05T18:21:29.140+01:00,xgzM0SrFtWGVouLZvPopDKRoscRsOIp4yLCgJRw3GJc=,80,200,71
0,5598696125570113640,4831163646137184502,-4535551292576113116,maps.googleapis.com,NULL,NULL,"http://maps.googleapis.com/maps/api/elevation/xml?locations=41.478823,2.082497&sensor=false",377,860,2017-01-05T18:21:40.340+01:00,2017-01-05T18:21:40.420+01:00,+mRZ6crYGOmsLjL49xhPYCfpBcq4C2aqdSNerD/ugx4=,80,200,32
0,4708069878692769410,1176529228102761124,-4535551292576113116,www.himgs.com,http://www.hola.com/actualidad/2017060595424/gerard-pique-katie-holmes-harvard/,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J510FN Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://www.himgs.com/css/hello/fonts/HelveticaNeueLTStd-HvCn/HelveticaNeueLTStd-HvCn.otf,1259,23733,2017-01-05T18:21:33.990+01:00,2017-01-05T18:21:34.040+01:00,6I4slFJMYv+lXcnlxvH7cPuHYrdT2qrigoKv7z/1ujc=,8080,200,32
0,2693815476333961862,2193046740321276434,-4535551292576113116,video.blastingnews.com,http://es.blastingnews.com/showbiz-y-tv/2017/06/dragon-ball-super-titulos-y-sinopsis-de-capitulos-94-95-96-97-y-98-001751165.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Mobile/14D27 [FBAN/FBIOS;FBAV/50.0.0.47.191;FBBV/23973043;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iPhone OS;FBS",http://video.blastingnews.com/p/4/2017/05/16/76bf5a3d-f2f0-4546-9cb4-a7293ca93552.mp4,3157,30531,2017-01-05T18:21:40.220+01:00,2017-01-05T18:21:41.160+01:00,US/20thRzq0LWCFpxJc8mgOtDwhtu6qJzoQXTou/a4k=,80,206,32
0,-1227984311132063226,-4052590266392814011,-5895956856301276815,nanohome.cn,NULL,Dalvik/2.1.0 (Linux; U; Android 6.0; ZP951 Build/MRA58K),http://nanohome.cn/get_keywords/geo_getcitywords.php,291,2039,2017-01-05T18:22:22.390+01:00,2017-01-05T18:22:18.800+01:00,alEUHaFKdP6Y1Hw364jpVJcSXNpMyr6giq5f/1pNK1U=,80,200,71
0,6963559185746464165,7331229955337236641,-4852120634551320488,dns.map.baidu.com,NULL,Apache-HttpClient/UNAVAILABLE (java 1.4),http://dns.map.baidu.com:80/remotedns?pid=lbs-geolocation,501,112,2017-01-05T18:22:22.220+01:00,2017-01-05T18:22:22.130+01:00,qGAtsb+blWeplAgWoZbbPlFyEwCG/Da4ogWFnpRynQo=,80,0,71
0,2259080179476127081,2399074293531840206,-4535551292576113116,ps.zmags.com,http://www.leroymerlin.es/promociones/folletosR3/folletoCompleto.html?codigo=166&utm_campaign=20170601_CLUB_OPECOM_GENERICO_GENERI,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",http://ps.zmags.com/clients/leroymerlin/out.js.php?psz_config_id=leroymerlin_851ecd910ac4dfb6,3717,104302,2017-01-05T18:31:07.760+01:00,2017-01-05T18:31:08.350+01:00,6Z76W1vkCCU2Mfm7DmAy/X7LnUXtYLa5x7ij+9jEIrg=,80,200,32
0,3882783764046158728,8961602176531697732,-5175117175759967702,ads.mopub.com,NULL,"Mozilla/5.0 (Linux; Android 6.0; CAM-L21 Build/HUAWEICAM-L21; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",http://ads.mopub.com/m/ad?id=7ac6706421af4b7fa3e39e231dd98db2&nsv=4.4.1&dn=HUAWEI%2CCAM-L21%2CCAM-L21&bundle=cn.wps.moffice_eng&z=,1934,11040,2017-01-05T18:30:37.790+01:00,2017-01-05T18:30:36.410+01:00,uMwmELOuOAei3oFSLcnHJIRbHBCd1E9MXLAfRU4Y6yM=,80,200,71
0,-6059604688195466220,-8385382669575989607,-2758162898726740101,pixel.quantserve.com,http://www.sport.es/es/noticias/barca/eriksen-barcelona-no-dice-que-no-6084996,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B100 [FBAN/FBIOS;FBAV/90.0.0.51.69;FBBV/56254015;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.",http://pixel.quantserve.com/pixel;r=1003611103;event=refresh;labels=sports;rf=5;a=p-PFW5FesqXn206;url=http%3A%2F%2Fwww.sport.es%2F,1622,52,2017-01-05T18:30:44.800+01:00,2017-01-05T18:30:43.620+01:00,Q/m4YyOGYjXQHtd/I2KsCSAXQVg7WCkGCj0EjdTI8mU=,80,0,71
0,8545857288247569118,-3722422543006874892,-4535551292576113116,t.mismarcadores.com,NULL,MisMarcadores/94 CFNetwork/811.5.4 Darwin/16.6.0,http://t.mismarcadores.com/x/feed/u_1_1,602,379,2017-01-05T18:31:55.480+01:00,2017-01-05T18:31:55.620+01:00,BShEE2ZSKz6OTb72ZRLbFS6HaftTwGNIClu4yqm7efE=,80,204,32
0,2191076035179623151,-7459963600018834466,-1957374054307672866,ap.parkhelp.com,NULL,PH DC,http://ap.parkhelp.com/find_me.php?sn=06008130400076&uptime=19589.45&fw_ver=2.2.11&ip_local=10.0.2.59&ip_out=0,592,700,2017-01-05T18:32:10.100+01:00,2017-01-05T18:32:08.790+01:00,xOWyDrIMqg4xEq7WKxUk2XxTciybS1azOruv44MCmO4=,80,200,71
0,2532302525821197952,8828907140950356763,2366636139956216340,sync.mathtag.com,http://acdn.adnxs.com/ib/static/usersync/v3/async_usersync.html,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://sync.mathtag.com/sync/img?mt_exid=13&mt_exuid=8822686172727037434&redir=http%3A%2F%2Fib.adnxs.com%2Fsetuid%3Fentity%3D8%26c,1228,589,2017-01-05T18:32:09.940+01:00,2017-01-05T18:32:09.820+01:00,pj1SDsVkXRf1I5P/vrygtbW53SLE44lEf2oY/qG4S/0=,80,302,71
0,-8963307405162088247,-6061191942689812307,-7914162467844363310,198.38.124.149,NULL,Argo/971 CFNetwork/811.5.4 Darwin/16.6.0,http://198.38.124.149/?o=AQGYMINIswh71YPdAj1Ep9JgdOpZfmpSF__PEcn6HtHV2EDWBzE8kZ99FPMmGc1n6fkcMEMBuDviIQ4wxyyXol9ZCzKX7IzCXbZOO6JfF,34753,433833,2017-01-05T18:32:18.030+01:00,2017-01-05T18:32:09.260+01:00,v5DkXL46hdKRzSJTZ7mFwioDylvJYU59xqLR7sT/7RQ=,80,200,71
0,-1361753258952157232,-5389606536568065119,5571304094807171769,hmma.baidu.com,NULL,Dalvik/1.6.0 (Linux; U; Android 4.4.2; Aquaris E5 HD Build/KOT49H),http://hmma.baidu.com/app.gif,2474,416,2017-01-05T18:29:28.830+01:00,2017-01-05T18:29:28.220+01:00,YIUsWKdp/vt2RGAPh8upVoMMPbfvvlfvoJz69x4BGdA=,8080,200,71
0,-3192212179142158465,-2769524085851567607,7002436371636441354,www.google-analytics.com,http://www.conmishijos.com/nombres/ninas/e/,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N910F Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/5.4 Chrome/51.0.2704.106 Mobile Safari/537.36",http://www.google-analytics.com/collect?v=1&_v=j55&a=1698376770&t=pageview&_s=1&dl=http%3A%2F%2Fwww.conmishijos.com%2Fnombres%2Fni,805,514,2017-01-05T18:33:25.330+01:00,2017-01-05T18:33:25.320+01:00,NULL,80,200,71
0,5767762925352548022,4045845717208751133,-1663605588459726046,media2.wallcover.com,http://www.wallcover.com/es/estilo/papel-pintado-diseno.html,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",http://media2.wallcover.com/es/media/catalog/product/cache/10/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/3/0/302721.jpg,86284,983198,2017-01-05T18:33:16.500+01:00,2017-01-05T18:33:15.290+01:00,ZIykjTDVmCYspMw0zJk4KQb7T2cN6il388VqE6ZtlC8=,80,200,71
0,2643347457610378092,-2738043094356095347,8045752093781734161,app.adolfodominguez.biz,NULL,Mozilla/4.0 (compatible; MSIE 6.0; MS Web Services Client Protocol 2.0.50727.5485),http://app.adolfodominguez.biz/servicio_ticket/Service.asmx,450,777,2017-01-05T18:32:33.640+01:00,2017-01-05T18:32:32.210+01:00,sXjl2uaOknR/W129L0fhy/RP0SERIBHuVEqci6iX9Pc=,80,100,71
0,-471743366509048277,-1970608767934700064,2825534893606799226,tpc.googlesyndication.com,http://www.marca.com/futbol/barcelona/2016/12/19/5857d06e46163f187f8b4602.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",http://tpc.googlesyndication.com/safeframe/1-0-8/html/container.html,2395,14947,2017-01-05T18:32:31.560+01:00,2017-01-05T18:32:30.680+01:00,FokC6TLnDWJVfPsoKcGyfbQTPLi60x7BxggbqEz3fgQ=,80,200,71
0,-4536751739690644884,3653561849577647879,2020551549867804299,vid.pubmatic.com,http://www.caffeinamagazine.it/dal-web/49361-volete-sapere-a-cosa-serve-mette-cinque-elastici-per-capelli-attorno-al-polso-si-scat,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A310F Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/125.0.0.23.80;]",http://vid.pubmatic.com/AdServer/AdServerServlet?adtype=13&pubId=156027&siteId=178543&adId=936024&vadFmt=3&vminl=1&vmaxl=60&vpos=1,1074,1138,2017-01-05T18:33:10.400+01:00,2017-01-05T18:33:10.530+01:00,jXeOvX792EmKjGjmAAlW/bF3htzcaQeFU/sWS8lLsrk=,80,200,0
0,-8754397146273784877,-2627175817096888534,-4535551292576113116,img.cm.ksmobile.com,NULL,Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G920F Build/NRD90M),http://img.cm.ksmobile.com/cmsecurity/res/drawable/2017/03/applock_intruder_new.png,970,8950,2017-01-05T18:33:12.740+01:00,2017-01-05T18:33:12.800+01:00,CUXOrge+W36rSCz7taSuJl69HEdDE0XqvbbcsVTj6vQ=,80,200,0
0,-6519160099156811221,-4830643840442145442,-1734983331078736988,thumbs1.ebaystatic.com,https://www.google.es/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",http://thumbs1.ebaystatic.com/d/l225/m/m5QYB68rUgKckSWM778nFAg.jpg,760,19967,2017-01-05T18:32:49.260+01:00,2017-01-05T18:32:49.520+01:00,akQ3amNYJMlnp+wSpiAoZyv1QREfJMlWkp7yidA67Q0=,80,200,32
0,-858824760659063427,6731584372474144592,-3644459485883937924,img-egc.xvideos.com,NULL,"Mozilla/5.0 (Linux; Android 6.0; EVA-L09 Build/HUAWEIEVA-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",http://img-egc.xvideos.com/videos/videopreview/df/67/c0/df67c09a99e397e798f46d4a8e02c29c_169.mp4,3913,60510,2017-01-05T18:32:58.310+01:00,2017-01-05T18:32:58.390+01:00,y3xZW+o4pNgvMbAy1lO+OGvfyKsmE8WHJucW96yNcE0=,80,206,32
0,-2910146171535338090,188112993976614467,-4535551292576113116,events.kaloo.ga,http://www.superdeporte.es/levante/2017/06/05/krohn-dehli-prepara-maletas/338106.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/86.0.0.48.52;FBBV/53842252;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iOS;FBSV/10.3.",http://events.kaloo.ga/event?pid=4104&aid=119148969&eventtype=articlehit&sid=rtrnfj&location=http%3A%2F%2Fwww.superdeporte.es%2Fle,1101,414,2017-01-05T18:33:05.180+01:00,2017-01-05T18:33:05.240+01:00,8NubGl6ts6LGbBjnP1dFF191q8RMkKFo+w2hSwSBkxg=,80,200,32
