CONTENT_TITLE,CONTENT_SUB_TITLE,EXTERNAL_ASSET_ID,CONTENT_KIND
Thor,,PRG_PAR_THOR_110927SD,Cine AcciÃ_ine Aventuras
Top gun,,PRG_PAR_TOPGUN_130614SD,Cine AcciÃ_ine Aventuras
Transformers,,PRG_0000000292SD,Cine AcciÃ_ine Aventuras
Transformers,,PRG_PAR_TRANSFO_121210SD,Cine AcciÃ_ine Aventuras
Transformers: El lado oscuro de la Luna,,PRG_PAR_TRANS3_110927SD,cine acciÃ_ine aventuras
Troya,,PRG_0000000606SD,Cine AcciÃ_ine Aventuras
Un lugar muy lejano,,PRG_0000000449SD,Cine AcciÃ_ine Aventuras
Un lugar muy lejano,,PRG_0000001356SD,Cine AcciÃ_ine Aventuras
V de Vendetta,,PRG_0000000478SD,Cine AcciÃ_ine Aventuras
Negocios de guerra,,PRG_0000000548SD,Cine AcciÃ_ine Comedia
"OSS 117: El Cairo, nido de espÃ_",,PRG_0000001705SD,Cine AcciÃ_ine Comedia
Collateral,,PRG_PAR_COLLATER_120425SD,Cine AcciÃ_ine Suspense
Infierno en el ÃÅtico,,PRG_0000000538SD,Cine AcciÃ_ine Suspense
Objetivo: La Casa Blanca,,PRG_0000000495SD,Cine AcciÃ_ine Suspense
The Italian Job,,PRG_PAR_ITJOB03_120425SD,cine acciÃ_ine suspense
Boiling Point,,PRG_0000001036SD,Cine AcciÃ_n
Caos,,PRG_0000002423SD,Cine AcciÃ_n
Caos,,PRG_0000003037SD,Cine AcciÃ_n
Carrera infernal,,PRG_0000002831SD,Cine AcciÃ_n
Con la muerte en los talones,,PRG_0000001687SD,Cine AcciÃ_n
Con la muerte en los talones,,PRG_0000003098SD,Cine AcciÃ_n
Doble impacto,,PRG_0000003101SD,Cine AcciÃ_n
El canalla,,PRG_0000002627SD,Cine AcciÃ_n
El gran rescate,,PRG_0000002424SD,Cine AcciÃ_n
El hipnotista,,PRG_0000003923SD,Cine AcciÃ_n
El rey del juego,,PRG_0000001659SD,Cine AcciÃ_n
EspÃ_a por accidente,,PRG_0000003034SD,Cine AcciÃ_n
Fuerza de vigilancia,,PRG_0000002621SD,Cine AcciÃ_n
Furia enjaulada,,PRG_0000002609SD,Cine AcciÃ_n
Hostage,,PRG_0000002724SD,Cine AcciÃ_n
Kill Bill Vol. 1,,PRG_0000002437SD,Cine AcciÃ_n
Kill Bill Vol. 1,,PRG_0000002465SD,Cine AcciÃ_n
Kill Bill Vol. 1,,PRG_0000003035SD,Cine AcciÃ_n
Kill Bill Vol. 2,,PRG_0000002438SD,Cine AcciÃ_n
Kill Bill Vol. 2,,PRG_0000002466SD,Cine AcciÃ_n
Kill Bill Vol. 2,,PRG_0000003036SD,Cine AcciÃ_n
King Kong,,PRG_0000001660SD,Cine AcciÃ_n
King Kong,,PRG_0000003306SD,Cine AcciÃ_n
Mad Dog Coll,,PRG_0000003836SD,Cine AcciÃ_n
Sin City,,PRG_0000002720SD,Cine AcciÃ_n
Supercop,,PRG_0000002371SD,Cine AcciÃ_n
Treinta minutos para morir,,PRG_0000002608SD,Cine AcciÃ_n
ÃÅngeles encadenados,,PRG_0000002830SD,Cine AcciÃ_n
300,,PRG_WAR_300_120702SD,"Cine AcciÃ_n,Cine Aventuras"
Armageddon,,PRG_BVI_ARMAGED_120118SD,"Cine AcciÃ_n,Cine Aventuras"
Avance: Guerra Mundial Z,,PRG_0000001803SD,"Cine AcciÃ_n,Cine Aventuras"
Avance: Pacific Rim,,PRG_0000001707SD,"Cine AcciÃ_n,Cine Aventuras"
Avance: Star Trek: En la oscuridad,,PRG_0000001950SD,"Cine AcciÃ_n,Cine Aventuras"
Avance: Thor: el mundo oscuro,,PRG_0000003135SD,"Cine AcciÃ_n,Cine Aventuras"
Bajo cero,,PRG_0000000447SD,"Cine AcciÃ_n,Cine Aventuras"
Bajo cero,,PRG_0000002471SD,"Cine AcciÃ_n,Cine Aventuras"
Batman,,PRG_WAR_BATMAN_090518SD,"Cine AcciÃ_n,Cine Aventuras"
Batman Begins,,PRG_0000000458SD,"Cine AcciÃ_n,Cine Aventuras"
Batman Forever,,PRG_WAR_BATFORE_090518SD,"Cine AcciÃ_n,Cine Aventuras"
Batman vuelve,,PRG_WAR_BATRET_090518SD,"Cine AcciÃ_n,Cine Aventuras"
Batman y Robin,,PRG_WAR_BATROB_09051881SD,"Cine AcciÃ_n,Cine Aventuras"
Camuflaje,,PRG_0000001745SD,"Cine AcciÃ_n,Cine Aventuras"
CapitÃ¡n AmÃ©rica: El primer vengador,,PRG_PAR_CAPAMER_111104SD,"Cine AcciÃ_n,Cine Aventuras"
Cowboys and Aliens,,PRG_PAR_COWALIENS_111104SD,"Cine AcciÃ_n,Cine Aventuras"
CÃ_mo se rodÃ_ Guerra Mundial Z,,PRG_0000001747SD,"Cine AcciÃ_n,Cine Aventuras"
DÃ_a de entrenamiento,,PRG_WAR_TRAINDAY_100326SD,"Cine AcciÃ_n,Cine Aventuras"
El asesinato de Jesse James por el cobarde Robert Ford,,PRG_0000000461SD,"Cine AcciÃ_n,Cine Aventuras"
El caballero oscuro,,PRG_WAR_CABAOSCUR_130521SD,"Cine AcciÃ_n,Cine Aventuras"
El hombre de acero,,PRG_0000001535SD,"Cine AcciÃ_n,Cine Aventuras"
El llanero solitario,,PRG_0000001797SD,"Cine AcciÃ_n,Cine Aventuras"
Extras: El antifaz,,PRG_0000001652SD,"Cine AcciÃ_n,Cine Aventuras"
Extras: Infierno sobre ruedas,,PRG_0000001650SD,"Cine AcciÃ_n,Cine Aventuras"
Extras: La plataforma del espÃ_ritu,,PRG_0000001651SD,"Cine AcciÃ_n,Cine Aventuras"
Extras: Mister Spock,,PRG_0000001628SD,"Cine AcciÃ_n,Cine Aventuras"
Extras: Reconstruyendo el Enterprise,,PRG_0000001629SD,"Cine AcciÃ_n,Cine Aventuras"
G.I. JOE: La venganza,,PRG_0000000294SD,"Cine AcciÃ_n,Cine Aventuras"
G.I. Joe,,PRG_0000000581SD,"Cine AcciÃ_n,Cine Aventuras"
Gangster Squad,,PRG_WAR_GANGSTSQD_130503SD,"Cine AcciÃ_n,Cine Aventuras"
Guerra mundial Z,,PRG_0000001796SD,"Cine AcciÃ_n,Cine Aventuras"
Indiana Jones y el reino de la calavera de cristal,,PRG_0000002376SD,"Cine AcciÃ_n,Cine Aventuras"
Indiana Jones y el templo maldito,,PRG_0000002373SD,"Cine AcciÃ_n,Cine Aventuras"
Indiana Jones y la Ãºltima cruzada,,PRG_0000002375SD,"Cine AcciÃ_n,Cine Aventuras"
Indiana Jones: en busca del arca perdida,,PRG_0000002374SD,"Cine AcciÃ_n,Cine Aventuras"
Iron man 3,,PRG_0000000344SD,"Cine AcciÃ_n,Cine Aventuras"
Jack el caza gigantes,,PRG_0000000346SD,"Cine AcciÃ_n,Cine Aventuras"
La bÃºsqueda,,PRG_0000001341SD,"Cine AcciÃ_n,Cine Aventuras"
La bÃºsqueda,,PRG_BVI_BUSQUEDA_100120SD,"Cine AcciÃ_n,Cine Aventuras"
La guerra de los mundos,,PRG_PAR_GUERRAMUN_130614SD,"Cine AcciÃ_n,Cine Aventuras"
Los juegos del hambre: en llamas,,PRG_0000003828SD,"Cine AcciÃ_n,Cine Aventuras"
Minority Report,,PRG_PAR_MINORIREP_130614SD,"Cine AcciÃ_n,Cine Aventuras"
MisiÃ_n imposible,,PRG_0000000583SD,"Cine AcciÃ_n,Cine Aventuras"
OrÃ_genes,,PRG_0000001746SD,"Cine AcciÃ_n,Cine Aventuras"
Pacific Rim,,PRG_0000001794SD,"Cine AcciÃ_n,Cine Aventuras"
Piratas del Caribe: El cofre del hombre muerto,,PRG_0000000422SD,"Cine AcciÃ_n,Cine Aventuras"
Piratas del Caribe: En el fin del mundo,,PRG_0000000423SD,"Cine AcciÃ_n,Cine Aventuras"
Piratas del Caribe: La maldiciÃ_n de la Perla Negra,,PRG_0000000420SD,"Cine AcciÃ_n,Cine Aventuras"
Poseidon,,PRG_0000000474SD,"Cine AcciÃ_n,Cine Aventuras"
Star Trek en la oscuridad,,PRG_0000000296SD,"Cine AcciÃ_n,Cine Aventuras"
Thor,,PRG_PAR_THOR_110927SD,"Cine AcciÃ_n,Cine Aventuras"
Thor: el mundo oscuro,,PRG_0000002774SD,"Cine AcciÃ_n,Cine Aventuras"
Thor: el mundo oscuro: el regreso de Loki,,PRG_0000003314SD,"Cine AcciÃ_n,Cine Aventuras"
Thor: el mundo oscuro: la historia,,PRG_0000003315SD,"Cine AcciÃ_n,Cine Aventuras"
Thor: el mundo oscuro: localizaciones,,PRG_0000003313SD,"Cine AcciÃ_n,Cine Aventuras"
Tiempo en contra,,PRG_0000002091SD,"Cine AcciÃ_n,Cine Aventuras"
Tiempo en contra,,PRG_0000003094SD,"Cine AcciÃ_n,Cine Aventuras"
Top gun,,PRG_PAR_TOPGUN_130614SD,"Cine AcciÃ_n,Cine Aventuras"
Transformers,,PRG_0000000292SD,"Cine AcciÃ_n,Cine Aventuras"
Transformers,,PRG_PAR_TRANSFO_121210SD,"Cine AcciÃ_n,Cine Aventuras"
Transformers: El lado oscuro de la Luna,,PRG_PAR_TRANS3_110927SD,"cine acciÃ_n,cine aventuras"
Troya,,PRG_0000000606SD,"Cine AcciÃ_n,Cine Aventuras"
Un lugar muy lejano,,PRG_0000001356SD,"Cine AcciÃ_n,Cine Aventuras"
V de Vendetta,,PRG_0000000478SD,"Cine AcciÃ_n,Cine Aventuras"
Transformers 2: La venganza de los caÃ_dos,,PRG_PAR_TRANSFALL_091105SD,"Cine AcciÃ_n,Cine Aventuras,Cine Ciencia FicciÃ_n"
Super 8,,PRG_PAR_SUPER8_111104SD,"Cine AcciÃ_n,Cine Aventuras,Cine Ciencia FicciÃ_n,Cine Familiar,Cine FantasÃ_a"
Negocios de guerra,,PRG_0000000548SD,"Cine AcciÃ_n,Cine Comedia"
Collateral,,PRG_PAR_COLLATER_120425SD,"Cine AcciÃ_n,Cine Suspense"
Infierno en el ÃÅrtico,,PRG_0000000538SD,"Cine AcciÃ_n,Cine Suspense"
Infierno en el Ã¿tico,,PRG_0000000538SD,"Cine AcciÃ_n,Cine Suspense"
Objetivo: La Casa Blanca,,PRG_0000000495SD,"Cine AcciÃ_n,Cine Suspense"
The Italian Job,,PRG_PAR_ITJOB03_120425SD,"cine acciÃ_n,cine suspense"
"T2, E04: Crucible",Arrow,PRG_0000001377SD,Cine AcciÃ_NIVERSAL
Boiling Point,,PRG_0000001036SD,Cine AcciÃ_URNER
Objetivo: Birmania,,PRG_0000001195SD,Cine AcciÃ_URNER
Supercop,,PRG_0000001966SD,Cine AcciÃ_XN
300: El origen de un imperio,,PRG_0000005867SD,Cine Acción
A diez segundos del infierno,,PRG_0000025823SD,Cine Acción
Acorralado en Las Vegas,,PRG_0000004745SD,Cine Acción
Agenda oculta,,PRG_0000025809SD,Cine Acción
Agentes dobles,,PRG_0000029281SD,Cine Acción
Alex Rider: Operación Stormbreaker,,PRG_0000022656SD,Cine Acción
Amenazados,,PRG_0000021508SD,Cine Acción
Asalto al tren del dinero,,Wuaki_Movie_843,Cine Acción
Asesino a sueldo,,PRG_0000022932HD,Cine Acción
Ataque terrorista,,Wuaki_Movie_1937,Cine Acción
Avance: Black mass (estrictamente criminal),,PRG_0000033370HD,Cine Acción
Avance: Golpe de estado,,PRG_0000033360HD,Cine Acción
Avance: Jack Ryan: Operación sombra,,PRG_0000005244SD,Cine Acción
Avance: Los juegos del hambre: Sinsajo (parte 2),,PRG_0000035359HD,Cine Acción
Avance: Misión imposible: Nación secreta,,PRG_0000029907HD,Cine Acción
Avance: Pan (viaje a nunca jamás),,PRG_0000033368HD,Cine Acción
Avance: Sicario,,PRG_0000035189HD,Cine Acción
Big Game,,PRG_0000022933HD,Cine Acción
"Black Mama, White Mama",,PRG_0000031020SD,Cine Acción
Blackhat (Amenaza en la red),,PRG_0000020495HD,Cine Acción
Bullitt,,PRG_0000019452SD,Cine Acción
Bullitt,,PRG_0000029894SD,Cine Acción
Calles de fuego,,PRG_0000030282HD,Cine Acción
Caos,,PRG_0000003037SD,Cine Acción
Caos,,PRG_0000005324SD,Cine Acción
Caos,,PRG_0000006009SD,Cine Acción
Caos,,PRG_0000021953SD,Cine Acción
Carrera infernal,,PRG_0000004594SD,Cine Acción
Carrera infernal,,PRG_0000005167SD,Cine Acción
Carrera infernal,,PRG_0000006033SD,Cine Acción
Carrera infernal,,PRG_0000023876SD,Cine Acción
Carrera infernal,,PRG_0000030901SD,Cine Acción
Cat Run 2,,PRG_0000032667HD,Cine Acción
Catch me if you can,,PRG_0000004931SD,Cine Acción
Colombiana,,PRG_0000019727HD,Cine Acción
Con la muerte en los talones,,PRG_0000008792SD,Cine Acción
Con la muerte en los talones,,PRG_0000018545SD,Cine Acción
Con la muerte en los talones,,PRG_0000021659SD,Cine Acción
Con la muerte en los talones,,PRG_0000031660SD,Cine Acción
Contrarreloj,,PRG_0000019489HD,Cine Acción
Contrarreloj,,PRG_0000028236SD,Cine Acción
Contrarreloj,,Wuaki_Movie_3004,Cine Acción
Crank: Alto voltaje,,Wuaki_Movie_4370,Cine Acción
Código Fuente,,PRG_0000019527SD,Cine Acción
DCU: Batman: EL asalto de Arkham,,PRG_0000005868SD,Cine Acción
DOA: Dead or Alive,,Wuaki_Movie_465,Cine Acción
De profesión: duro,,PRG_0000029283SD,Cine Acción
Desde París con amor,,PRG_0000019714HD,Cine Acción
Desde París con amor,,Wuaki_Movie_626,Cine Acción
Divergente,,PRG_0000006435HD,Cine Acción
Divergente,,PRG_0000018278HD,Cine Acción
Divergente,,PRG_0000029329HD,Cine Acción
Dos duros sobre ruedas,,PRG_0000021836SD,Cine Acción
Drive,,PRG_0000036615HD,Cine Acción
El asesino,,PRG_0000004133SD,Cine Acción
El asesino (HD),,PRG_0000013295HD,Cine Acción
El caso Heineken,,PRG_0000031883HD,Cine Acción
El caso Slevin,,PRG_0000025817SD,Cine Acción
El desconocido,,PRG_0000032704HD,Cine Acción
El hipnotista,,PRG_0000003923SD,Cine Acción
El hipnotista,,PRG_0000019692HD,Cine Acción
El juego de Ender,,PRG_0000003896SD,Cine Acción
El juego de Ender,,PRG_0000013260HD,Cine Acción
El martillo de los Dioses,,PRG_0000004907SD,Cine Acción
El martillo de los Dioses (HD),,PRG_0000013293HD,Cine Acción
El mensajero,,PRG_0000004128SD,Cine Acción
El mensajero,,PRG_0000016056SD,Cine Acción
El mensajero (HD),,PRG_0000013282HD,Cine Acción
El monje (2003),,Wuaki_Movie_301,Cine Acción
El pacto,,PRG_0000019308HD,Cine Acción
El retorno de Keaton,,PRG_0000005396SD,Cine Acción
El rey del juego,,PRG_0000019996SD,Cine Acción
El rey del juego,,PRG_0000024110SD,Cine Acción
El rey del juego,,PRG_0000029896SD,Cine Acción
El último de los mejores,,PRG_0000004384SD,Cine Acción
El último desafío,,PRG_0000031062SD,Cine Acción
El único superviviente,,PRG_0000004903SD,Cine Acción
El único superviviente,,PRG_0000013266HD,Cine Acción
Emperador,,PRG_0000031104SD,Cine Acción
En tierra hostil,,PRG_0000033363SD,Cine Acción
Enemigo a las puertas,,PRG_0000019451SD,Cine Acción
Escape,,PRG_0000006401SD,Cine Acción
Escape (HD),,PRG_0000013268HD,Cine Acción
Espía por accidente,,PRG_0000025859SD,Cine Acción
Everly,,PRG_0000017079HD,Cine Acción
Everly,,PRG_0000028201HD,Cine Acción
Fast & Furious 7,,PRG_0000020464HD,Cine Acción
Gamer,,Wuaki_Movie_1974,Cine Acción
Gladiator (El gladiador),,PRG_0000030262HD,Cine Acción
Golpe de Estado,,PRG_0000032689HD,Cine Acción
Grupo 7,,PRG_0000036096HD,Cine Acción
Hamilton I,,PRG_0000005875SD,Cine Acción
Hamilton I (HD),,PRG_0000013267HD,Cine Acción
Harry el sucio,,PRG_0000019455SD,Cine Acción
Harry el sucio,,PRG_0000020085SD,Cine Acción
Harry el sucio,,PRG_0000031672SD,Cine Acción
Indomable,,PRG_0000015919SD,Cine Acción
Invicto,,Wuaki_Movie_283,Cine Acción
Invicto 2,,Wuaki_Movie_29409,Cine Acción
Invicto 3,,Wuaki_Movie_29410,Cine Acción
Iron man 2,,PRG_0000009071HD,Cine Acción
Iron man 2,,PRG_0000036335HD,Cine Acción
Jarhead 3: El asedio,,PRG_0000032669HD,Cine Acción
Jarhead 3: El asedio,,PRG_0000035224HD,Cine Acción
Jarhead 3: El asedio,,PRG_0000035315HD,Cine Acción
John Rambo. Regreso al infierno,,Wuaki_Movie_222,Cine Acción
Johnny Mnemonic,,PRG_0000004287SD,Cine Acción
Jungla de cristal 3. La venganza,,Wuaki_Movie_3627,Cine Acción
Jurassic World: Creando la acción,,PRG_0000028407HD,Cine Acción
Jurassic World: Dentro del parque,,PRG_0000028409HD,Cine Acción
Jurassic World: Una nueva visión,,PRG_0000028408HD,Cine Acción
Kill Bill Vol. 1,,PRG_0000004592SD,Cine Acción
Kill Bill Vol. 1,,PRG_0000007058SD,Cine Acción
Kill Bill Vol. 2,,PRG_0000004593SD,Cine Acción
Kill Bill Vol. 2,,PRG_0000007196SD,Cine Acción
King Kong,,PRG_0000003306SD,Cine Acción
King Kong,,PRG_0000017092SD,Cine Acción
King Kong,,PRG_0000021865SD,Cine Acción
King Kong,,PRG_0000025727SD,Cine Acción
King Kong,,PRG_0000030280SD,Cine Acción
King Kong,,PRG_0000031264HD,Cine Acción
La fría luz del día,,PRG_0000019518HD,Cine Acción
La guerra del marfil,,PRG_0000028168SD,Cine Acción
La isla de los condenados,,Wuaki_Movie_26457,Cine Acción
La liga de la justicia: El trono de Atlantis,,PRG_0000014440SD,Cine Acción
Ladrones de mentes,,Wuaki_Movie_1526,Cine Acción
Lara Croft: Tomb Raider,,PRG_0000035319HD,Cine Acción
Los Juegos del hambre: entrevistas a los actores,,PRG_0000035361HD,Cine Acción
Los Mercenarios 2,,Wuaki_Movie_2850,Cine Acción
Los elegidos,,PRG_0000021640SD,Cine Acción
Los juegos del hambre: entrevista al director,,PRG_0000035360HD,Cine Acción
Los jóvenes salvajes,,PRG_0000024434SD,Cine Acción
Los mercenarios,,Wuaki_Movie_1956,Cine Acción
Los mercenarios 2,,PRG_0000019523HD,Cine Acción
Mad Max. Salvajes de autopista,,PRG_0000035260HD,Cine Acción
Mad Max: Furia en la carretera,,PRG_0000021780HD,Cine Acción
Malditos bastardos,,PRG_0000031115HD,Cine Acción
Misión Imposible II,,PRG_0000036087HD,Cine Acción
Misión Imposible: Nación secreta. Rodando bajo el agua,,PRG_0000029908HD,Cine Acción
Misión imposible III (M:I-3),,PRG_0000035318HD,Cine Acción
Misión imposible: Nación secreta. Rodando la acción,,PRG_0000029910HD,Cine Acción
Misión imposible: Nación secreta. Secretos de rodaje,,PRG_0000029909HD,Cine Acción
Misión imposible: Protocolo Fantasma (Misión imposible IV),,PRG_0000017937HD,Cine Acción
Misión imposible: Protocolo Fantasma (Misión imposible IV),,PRG_0000031603HD,Cine Acción
Misión imposible: Protocolo Fantasma (Misión imposible IV),,PRG_0000035235HD,Cine Acción
Ninja Turtles,,PRG_0000014413SD,Cine Acción
Ninja Turtles,,PRG_0000015216HD,Cine Acción
Ninja Turtles,,PRG_0000015646HD,Cine Acción
Objetivo terrorista,,PRG_0000031123HD,Cine Acción
Operación Dragón,,PRG_0000030258SD,Cine Acción
Operación U.N.C.L.E,,PRG_0000031879HD,Cine Acción
Plan de escape,,PRG_0000003905SD,Cine Acción
Plan de escape (HD),,PRG_0000013271HD,Cine Acción
Push,,PRG_0000018714SD,Cine Acción
RED,,Wuaki_Movie_702,Cine Acción
Red,,PRG_0000016328SD,Cine Acción
Red 2,,PRG_0000004114SD,Cine Acción
Red 2,,PRG_0000017926SD,Cine Acción
Red 2,,PRG_0000019693HD,Cine Acción
Riddick,,PRG_0000003877SD,Cine Acción
Riddick,,PRG_0000016175SD,Cine Acción
Riddick (HD),,PRG_0000013284HD,Cine Acción
Rompiendo las reglas,,PRG_0000029276SD,Cine Acción
Rompiendo las reglas,,Wuaki_Movie_672,Cine Acción
Rush,,PRG_0000003880SD,Cine Acción
Rush (HD),,PRG_0000013273HD,Cine Acción
Safe,,PRG_0000019696HD,Cine Acción
Safe,,Wuaki_Movie_2324,Cine Acción
Sicario,,PRG_0000032697HD,Cine Acción
Siete espadas,,Wuaki_Movie_324,Cine Acción
Sin City,,PRG_0000019578SD,Cine Acción
Sin salida,,PRG_0000019526SD,Cine Acción
Snowpiercer (Rompenieves),,PRG_0000004908SD,Cine Acción
Snowpiercer (Rompenieves),,PRG_0000020302HD,Cine Acción
Soda Cracker,,PRG_0000004667SD,Cine Acción
Soldado Universal IV: El dÍa del Juicio Final,,PRG_0000033366SD,Cine Acción
Soldado Universal: Regeneración,,PRG_0000033367SD,Cine Acción
Solomon Kane,,Wuaki_Movie_1287,Cine Acción
Spectre,,PRG_0000036548HD,Cine Acción
Supercollider,,PRG_0000017897SD,Cine Acción
"T1, E08","Intelligence, T1",PRG_0000004083SD,Cine Acción
"T1, E09","Intelligence, T1",PRG_0000004697SD,Cine Acción
"T1, E10","Intelligence, T1",PRG_0000004884SD,Cine Acción
"T1, E11","Intelligence, T1",PRG_0000005052SD,Cine Acción
"T1, E12","Intelligence, T1",PRG_0000005161SD,Cine Acción
"T14, E08: Indefensas","C.S.I., T14",PRG_0000009896SD,Cine Acción
"T2, E01",Marvel's Agents of S.H.I.E.L.D. T2,PRG_0000009533SD,Cine Acción
